SKU,Retail Price,Unit of Measure,Region,Meter,Product Name
Standard_NC16as_T4_v3,1.94,1 Hour,westus3,NC16asT4 v3,Virtual Machines NCasT4 v3 Series Windows
Standard_NV16as_v4,0.932,1 Hour,westus3,NV16as v4,Virtual Machines NVasv4 Series
Standard_NG32ads_V620_v1,5.852,1 Hour,westus3,NG32adsV620,Virtual Machines NGadsV620v1 Series Windows
Standard_NV6ads_A10_v5,0.454,1 Hour,westus3,NV6ads A10 v5,Virtual Machines NVadsA10v5 Series
Standard_NC8ads_A10_v4,1.468,1 Hour,westus3,NC8ads_A10_v4,Virtual Machines NCadsA10v4 Series Windows
Standard_NC8ads_A10_v4,1.1,1 Hour,westus3,NC8ads_A10_v4,Virtual Machines NCadsA10v4 Series
Standard_NG32ads_V620_v1,2.3408,1 Hour,westus3,NG32adsV620 Spot,Virtual Machines NGadsV620v1 Series Windows
Standard_NV32as_v4,0.368962,1 Hour,westus3,NV32as v4 Spot,Virtual Machines NVasv4 Series Windows
Standard_NC4as_T4_v3,0.0526,1 Hour,westus3,NC4as T4 v3 Spot,Virtual Machines NCasT4 v3 Series
Standard_NC6s_v3,3.06,1 Hour,westus3,NC6s v3,Virtual Machines NCSv3 Series
Standard_NV12ads_A10_v5,0.584,1 Hour,westus3,NV12ads A10 v5 Low Priority,Virtual Machines NVadsA10v5 Series Windows
Standard_NC48ads_A100_v4,3.019064,1 Hour,westus3,NC48ads_A100_v4 Spot,NCads A100 v4 Series Windows
Standard_NV72ads_A10_v5,3.933,1 Hour,westus3,NV72ads A10 v5 Low Priority,Virtual Machines NVadsA10v5 Series Windows
Standard_NV8as_v4,0.0466,1 Hour,westus3,NV8as v4 Spot,Virtual Machines NVasv4 Series
Standard_NC16ads_A10_v4,1.174,1 Hour,westus3,NC16ads_A10_v4 Low Priority,Virtual Machines NCadsA10v4 Series Windows
Standard_NV8as_v4,0.334,1 Hour,westus3,NV8as v4 Low Priority,Virtual Machines NVasv4 Series Windows
Standard_NG8ads_V620_v1,0.438,1 Hour,westus3,NG8adsV620 Spot,Virtual Machines NGadsV620v1 Series
Standard_NV36ads_A10_v5,1.9424,1 Hour,westus3,NV36ads A10 v5 Spot,Virtual Machines NVadsA10v5 Series Windows
Standard_NC16as_T4_v3,0.776,1 Hour,westus3,NC16asT4 v3 Low Priority,Virtual Machines NCasT4 v3 Series Windows
Standard_NG32adms_V620,1.139,1 Hour,westus3,NG32admsV620 Low Priority,Virtual Machines NGadsV620v1 Series
Standard_NV72ads_A10_v5,6.52,1 Hour,westus3,NV72ads A10 v5,Virtual Machines NVadsA10v5 Series
Standard_NC24rs_v3,13.46,1 Hour,westus3,NC24rs v3,Virtual Machines NCSv3 Series
Standard_NG32adms_V620,2.866,1 Hour,westus3,NG32admsV620 Low Priority,Virtual Machines NGadsV620v1 Series Windows
Standard_NG32ads_V620_v1,0.876,1 Hour,westus3,NG32adsV620 Low Priority,Virtual Machines NGadsV620v1 Series
Standard_NV8as_v4,0.466,1 Hour,westus3,NV8as v4,Virtual Machines NVasv4 Series
Standard_NV12ads_A10_v5,0.584,1 Hour,westus3,NV12ads A10 v5 Spot,Virtual Machines NVadsA10v5 Series Windows
Standard_NG16ads_V620_v1,2.19,1 Hour,westus3,NG16adsV620,Virtual Machines NGadsV620v1 Series
Standard_NC32ads_A10_v4,1.76,1 Hour,westus3,NC32ads_A10_v4 Spot,Virtual Machines NCadsA10v4 Series
Standard_ND96asr_A100_v4,7.34319,1 Hour,westus3,ND96asr A100 v4 Spot,Virtual Machines NDasr A100 v4 Series
Standard_NG8ads_V620_v1,0.585,1 Hour,westus3,NG8adsV620 Low Priority,Virtual Machines NGadsV620v1 Series Windows
Standard_NV16as_v4,0.184481,1 Hour,westus3,NV16as v4 Spot,Virtual Machines NVasv4 Series Windows
Standard_ND96amsr_A100_v4,14.562038,1 Hour,westus3,ND96amsr A100 v4 Spot,Virtual Machines NDamsr A100 v4 Series Windows
Standard_NC24ads_A100_v4,1.911,1 Hour,westus3,NC24ads_A100_v4 Low Priority,NCads A100 v4 Series Windows
Standard_NC64as_T4_v3,4.352,1 Hour,westus3,NC64asT4 v3,Virtual Machines NCasT4 v3 Series
Standard_NC32ads_A10_v4,5.872,1 Hour,westus3,NC32ads_A10_v4,Virtual Machines NCadsA10v4 Series Windows
Standard_NV18ads_A10_v5,0.971,1 Hour,westus3,NV18ads A10 v5 Low Priority,Virtual Machines NVadsA10v5 Series Windows
Standard_NC96ads_A100_v4,2.938,1 Hour,westus3,NC96ads_A100_v4 Low Priority,NCads A100 v4 Series Linux
Standard_NC16ads_A10_v4,0.88,1 Hour,westus3,NC16ads_A10_v4 Spot,Virtual Machines NCadsA10v4 Series
Standard_NC24rs_v3,8.009486,1 Hour,westus3,NC24rs v3 Spot,Virtual Machines NCSv3 Series Windows
Standard_NG8ads_V620_v1,0.5852,1 Hour,westus3,NG8adsV620 Spot,Virtual Machines NGadsV620v1 Series Windows
